ItemID,LocationID,TransactionDate,TransferQuantity
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-03-22,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-03,-3.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-02-06,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-01-31,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-07-03,-2.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-07-02,-24.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-08-05,-3.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-05-30,-2.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-04,-8.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-10-18,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-24,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-02-26,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-22,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-10-17,-8.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-05-07,-2.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-26,-2.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-08-20,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-10-29,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-05-01,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-02-01,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-05-08,-2.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-25,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-03-07,-17.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-26,-2.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-12-02,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-05-27,-2.0
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2019-09-24,-2.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-08-01,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-14,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-10,-2.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-17,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-04-24,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-03-16,-1.0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-06,-2.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-03-03,-3.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-06-14,-4.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-01-17,-6.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-12-11,14.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-17,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-07-31,-3.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-05-26,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-27,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-15,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-08-28,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-16,-3.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-08-25,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-05-20,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-06-12,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-13,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-06-14,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-01-22,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-07,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-12-04,-4.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-22,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-22,-12.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-17,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-06-13,-13.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-02-02,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-04-22,8.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-10,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-11-19,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-09-12,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-01-21,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2020-05-04,-1.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-12,-5.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-09-19,-1.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-16,-4.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-11-14,0.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-11-13,-2.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-08-02,-2.0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-09-16,-2.0
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-08-20,-1.0
